V4_TIPUSSORTIDA_2,V5_SORTIDA_ESGLAONADA,V6_PROBLEMATICA_DROGUES,V7_PROBLEMÀTICA_SALUTMENTAL_DROGUES,V8_SEGREGACIÓ_REGIMTANCAT,V9_REINGRES_ANTERIOR,V11_CLAS_86_4,V12_CLAS_UD,V13_TIPUSLC,V14_ACCES_LC,V18_SEXE,V19_ESTRANGERS,V20_AREAGEOG,V21_RESIDENCIA,V22_ESTUDIS,V23_CATALA,V24_CASTELLA,V25_FILLS_AGRUPADA,V26_EXPULSIO,V27_EDAT_PB_AGRUPADA,V28_EDAT_SORTIDAPB_AGRUPADA,V29_R3C_F16_DesajustInfantil,V30_R3C_F18_NivellEducatiu,V31_R3C_F19_ProblemesOcupacio,V32_R3C_F20_MancaRecursosEconomics,V33_R3C_F21_AbsenciaPlansFutur,V34_R3C_F22_AntecedentsFamilia,V35_R3C_F23_SocialitzacioProblematica,V36_R3C_F24_MancaSuportFamiliarSocial,V37_R3C_F25_PertinençaBandes,V38_R3C_F26_PertinençaGrupRisc,V39_R3C_F27_RolDelictiuDestacat,V40_R3C_F28_VictimaVIGE,V41_R3C_F29_CarreguesFamiliars,V42_R3C_F30_ConsumDrogues,V43_R3C_F31_ConsumAlcohol,V44_R3C_F32_TranstornMentalSever,V45_R3C_F33_ComportamentSexualRisc,V46_R3C_F34_RespostaLimitadaTractament,V47_R3C_F35_TranstornPersonalitat,V48_R3C_F36_PobreAfrontamentEstres,V49_R3C_F37_IntentsAutolesio,V50_R3C_F38_ActitudsProcriminals,V51_R3C_F39_BaixCI,V52_R3C_F40_Temeritat,V53_R3C_F41_Impulsivitat,V54R3C_F42_Hostilitat,V55_R3C_F43_Irresponsabilitat,V56_R3C_F19_ProblemesOcupacio_dico,V57_R3C_F20_MancaRecursosEconomics_dico,V58_R3C_F21_AbsenciaPlansFutur_dico,V59_R3C_F24_MancaSuportFamiliarSocial_dico,V60_R3C_F30_ConsumDrogues_dico,V61_R3C_F31_ConsumAlcohol_dico,V62_R3C_F34_RespostaLimitadaTractament_dico,V63_R3C_F36_PobreAfrontamentEstres_dico,V64_R3C_F40_Temeritat_dico,V65_R3C_F41_Impulsivitat_dico,V66_R3C_F42_Hostilitat_dico,V67_R3C_F43_Irresponsabilitat_dico,V68_DROGUES_RISCANVI,V69_DELICTEPB,V70_DELICTEPBCAT,V71_DELICTEPBCAT_NOVA,V72_DELICTEPBVIOL,V73_DELICTES_ACUMULATS,V74_RESPCIVIL,V75_OPV,V76_R3C_F03_IntoxicacioDelicteBase,V77_R3C_F04_VictimesLesions,V78_R3C_F07_HistoriaViolencia,V79_R3C_F08_IniciActivitatDelictiva,V80_R3C_F09_IncrementGravetatDelictes,V81_LLP,V82_INGRESPENAT,V83_CLAS_INICIAL,V84_INGRESANTERIOR,V85_INGRESANTERIOR_AGRUPADA,V86_DURADA_PENA_RisCanvi,V87_DURADA_PENA_PENITENCIARI,V88_DURADA_PENA_ESTUDISANTER,V89_TEMPSCONDEMNA_ANUAL,V90_PERMISOS,V91_SORTIDES_100_2,V92_INCIDENTS,V93_EXPEDIENTS,V94_EXP_MOLTGREU,V95_EXP_GREU,V96_REGRESSIONS,V97_UBICA_SUPERVISIO,V98_UBICA_INFERMERIA,V99_UBICA_PSIQUIATRIA,V100_CLASSIFICACIONS,V101_REGRESSIONS_1RGRAU,V102_REGRESSIONS_2GRAU,V103_TERCERGRAU,V104_R3C_F10_ConflictesAmbInterns,V105_R3C_F11_IncomplimentsMesures,V106_R3C_F12_ExpedientsDisciplinaris,V107_R3C_F13_EvasionsFugues,V108_R3C_F14_RegressioGrau,V109_R3C_F15_TrencamentPermisos,V110_R3C_F10_ConflictesAmbInterns_dico,V111_R3C_F11_IncomplimentsMesures_dico,V112_R3C_F12_ExpedientsDisciplinaris_dico,V113_R3C_F13_EvasionsFugues_dico,V114_R3C_F14_RegressioGrau_dico,V115_R3C_F15_TrencamentPermisos_dico,V116_TRACTAMENT_VIOLÈNCIES,V117_TRACTAMENT,V118_TRACTAMENT_TIPUS,V119_TRACTAMENT_SAC,V120_TRACTAMENT_VIGE,V121_TRACTAMENT_DEVI,V122_TRACTAMENT_DROGUES,V123_TRACTAMENT_TRANSIT,V132_TEMPSCONDEMNA_TOTAL,V133_TEMPSFINS_1rPermís,V134_TEMPSFINS_3rGrau,V135_TEMPSFINS_LC,V136_TEMPSFINS_86.4,V137_TEMPSFINS_UD,V138_EDAT_1RINGRÉS,V139_EDAT_DELICTEPBASE,V140_EDAT_PENABASE,V141_EDAT_SORTIDAPBASE,V146_N_FILLS,V147_NCLAS_DIFERENT,V148_NINGRESANTERIOR,V150_NREGRESSIONS,V151_NREGRESSIONS1R,V152_NREGRESSIONS2N,V153_N_UBICA_MODULS,V154_N_UBICA_SUPERVISIO,V155_N_UBICA_INFERMERIA,V156_N_UBICA_PSIQUIATRIA,V157_N_EXPEDIENTS_MLTGREU,V158_N_EXPEDIENTS_GREU,V159_HORES_ACTIVITATS_TRACTAMENT,V160_H_ANIMACIÓSOCIOCULTURAL,V161_H_OPERARI_AUXOFICINA,V162_H_EDUCACIOREGLADA,V163_H_ESPORT,V164_H_FORMACIOOCUPACIONAL,V165_H_TRACTAMENT_TRANSIT,V166_H_CONDUCTESADDICTIVES,V167_H_SALUTMENTAL,V168_H_EMOCIONAL_IMPULSOS,V189_NACIONALITAT,V190_MUNICIPI,V191_COMARCA,V192_PROVINCIA,V193_ESTUDIS,V194_INSTRUCCIO
4,4.0,0.0,0.0,0,2,0,0,1,1,1,1,1,1,2,2,2,0,9,2.0,2.0,1,1,2,3,3,2,2,3,2,2,2,2,1,3,3,2,2,2,2,3,3,3,2,3,3,3,3,1,2,2,2,2,2,1,2,2,2,2,2,0,9238,3,5,2,4,1,2,2,0,1,2,1,2,3,3,1,2,1.0,1.0,1.0,1.0,1,0,2,2,2,2,2,2,2,2,1,3,2,1,3,3,2,2,2,3,2,2,1,1,1,2,0,0,9,0,0,0,0,0,180.0,17.77777777777778,16.666666666666668,20.0,-1.0,-1.0,18.0,33.0,33.0,34.0,0,0,3,0,0,0,4,0,0,0,0,0,34.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,4.0,Espanya,Barcelona,Barcelonès,Barcelona,4,Formació intrumental 3
1,1.0,0.0,0.0,1,1,0,0,9,0,1,1,1,1,3,2,2,0,9,2.0,2.0,1,1,2,2,1,2,2,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,3,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,9242,3,4,1,3,2,2,1,0,2,2,1,2,1,2,1,1,1.0,1.0,1.0,2.0,0,0,1,1,1,1,1,2,2,1,2,2,2,0,2,3,2,3,1,3,1,2,1,2,1,2,0,0,9,0,0,0,0,0,555.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,36.0,34.0,35.0,0,1,19,1,1,0,10,0,0,1,5,9,54.0,30.0,0.0,0.0,20.0,1.0,0.0,3.0,0.0,0.0,Espanya,Barcelona,Barcelonès,Barcelona,5,Educació secundària 2
2,2.0,1.0,0.0,0,1,1,0,9,0,2,1,1,1,3,2,2,2,9,3.0,3.0,2,9,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,9386,6,8,2,3,1,2,2,2,2,2,2,2,3,3,1,2,2.0,1.0,2.0,2.0,1,0,1,1,2,1,1,2,2,2,2,3,1,1,3,3,3,3,3,3,2,2,2,2,2,2,0,0,9,0,0,0,0,0,1095.0,2.922374429223744,2.6484018264840183,-1.0,25.022831050228312,-1.0,46.0,58.0,58.0,61.0,3,1,3,1,0,1,8,0,0,0,0,3,246.0,131.0,0.0,0.0,5.0,110.0,0.0,0.0,0.0,0.0,Espanya,Barcelona,Barcelonès,Barcelona,5,Educació secundària 1
2,2.0,0.0,0.0,1,2,0,0,9,0,1,1,1,1,3,2,2,1,9,1.0,2.0,1,2,2,3,3,2,3,3,1,1,1,2,2,3,3,2,2,1,2,3,3,3,2,3,3,3,3,1,2,2,2,2,2,1,2,2,2,2,2,0,9139,1,1,1,1,2,2,2,2,1,2,1,2,2,2,1,2,3.0,3.0,3.0,4.0,1,0,1,1,1,1,1,1,2,2,4,1,1,1,2,2,2,3,2,2,1,1,1,2,1,1,1,1,3,0,0,1,0,0,5645.0,36.2444641275465,43.7732506643047,-1.0,-1.0,-1.0,18.0,36.0,19.0,33.0,2,11,2,5,2,3,34,10,0,0,12,9,3264.0,142.0,660.0,35.0,2151.0,18.0,223.0,0.0,0.0,35.0,Espanya,Sant Adrià de Besòs,Barcelonès,Barcelona,5,Educació secundària 1
2,2.0,0.0,0.0,1,2,0,0,9,0,1,1,1,1,2,1,2,1,9,1.0,2.0,1,1,2,4,2,2,3,3,1,1,1,2,1,1,3,2,2,3,1,1,1,1,2,3,3,3,3,1,2,1,2,1,2,2,1,2,2,2,2,0,9138,1,1,1,1,2,2,2,1,2,2,1,2,1,2,1,2,3.0,3.0,3.0,4.0,1,1,1,1,1,1,1,1,2,1,3,2,2,0,2,3,2,3,2,3,1,2,1,2,1,2,1,1,5,0,0,1,1,0,3935.0,87.72554002541295,-1.0,-1.0,-1.0,-1.0,31.0,36.0,22.0,32.0,1,2,2,1,1,0,42,4,0,1,14,23,1339.0,241.0,443.0,223.0,114.0,154.0,84.0,65.0,0.0,15.0,Espanya,Reus,Baix Camp,Tarragona,4,Formació intrumental 3
2,2.0,0.0,0.0,0,2,0,0,9,0,1,1,1,1,3,2,2,1,9,2.0,2.0,1,1,3,3,2,3,2,3,2,2,2,2,1,3,3,2,2,3,1,3,3,3,1,3,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,0,9242,3,4,1,4,1,2,2,0,1,2,2,2,3,2,1,2,1.0,1.0,1.0,2.0,1,0,2,1,1,2,2,2,2,1,1,3,2,0,3,3,3,3,3,3,2,2,2,2,2,2,0,1,4,0,0,0,1,1,545.0,43.669724770642205,-1.0,-1.0,-1.0,-1.0,25.0,34.0,34.0,36.0,1,0,2,0,0,0,9,0,0,1,1,0,165.0,19.0,0.0,9.0,68.0,18.0,0.0,28.0,0.0,23.0,Espanya,Tarragona,Tarragonès,Tarragona,5,Educació secundària 1
4,4.0,0.0,0.0,0,2,0,0,1,1,1,1,1,1,3,2,2,0,9,2.0,2.0,2,9,3,3,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,0,9238,3,5,2,3,2,2,2,2,2,2,2,2,3,3,1,2,1.0,1.0,1.0,1.0,1,0,2,2,2,2,2,2,2,2,1,3,2,1,3,3,3,3,3,3,2,2,2,2,2,2,0,0,9,0,0,0,0,0,360.0,3.3333333333333335,2.2222222222222223,0.0,-1.0,-1.0,22.0,36.0,37.0,38.0,0,0,3,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Espanya,Reus,Baix Camp,Tarragona,5,Educació secundària 1
2,2.0,0.0,0.0,0,2,0,0,9,0,1,2,2,1,3,1,2,2,2,3.0,3.0,1,2,2,3,2,3,2,2,2,1,2,2,2,3,3,2,2,2,2,3,3,3,2,3,2,3,3,1,2,1,1,2,2,1,2,2,1,2,2,0,9147,1,1,1,4,1,2,2,1,2,3,2,2,1,2,1,3,1.0,1.0,1.0,1.0,0,0,2,2,2,2,2,2,2,2,1,3,2,0,3,3,3,3,3,3,2,2,2,2,2,2,0,0,9,0,0,0,0,0,180.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.0,57.0,57.0,58.0,3,0,1,0,0,0,2,0,0,0,0,0,29.0,8.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,4.0,Hongria,Girona,Gironès,Girona,5,Educació secundària 1
2,2.0,0.0,0.0,0,2,0,0,9,0,1,1,1,1,3,2,2,0,9,2.0,2.0,1,1,3,3,3,2,2,1,2,2,2,2,2,3,3,2,2,3,2,3,3,3,2,2,3,3,4,2,2,2,1,2,2,2,2,1,2,2,2,0,9248,6,8,2,2,1,2,2,0,1,2,1,2,1,2,1,2,1.0,1.0,1.0,2.0,0,0,1,1,1,2,2,2,2,2,1,3,2,0,1,1,2,4,2,2,1,1,1,2,1,1,0,0,9,0,0,0,0,0,550.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,36.0,34.0,35.0,0,0,5,0,0,0,7,0,0,0,1,0,963.0,4.0,0.0,0.0,694.0,246.0,0.0,0.0,0.0,19.0,Espanya,Maçanet de La Selva,Selva,Girona,5,Educació secundària 2
3,6.0,1.0,0.0,0,2,1,0,9,0,1,1,1,1,3,2,2,1,9,2.0,2.0,2,1,3,4,3,2,2,3,2,2,2,2,1,3,3,2,2,3,2,3,3,3,2,1,2,3,3,2,2,2,2,2,2,2,2,1,1,2,2,1,9384,5,7,2,2,2,2,2,0,2,2,2,2,1,2,1,2,1.0,1.0,1.0,2.0,1,0,1,2,2,2,2,2,2,2,2,3,2,1,3,3,3,3,3,3,2,2,2,2,2,2,1,1,5,0,1,0,1,1,691.0,31.54848046309696,43.70477568740955,-1.0,52.098408104196814,-1.0,26.0,36.0,40.0,41.0,2,1,2,0,0,0,5,0,0,0,0,0,406.0,20.0,0.0,0.0,65.0,217.0,23.0,81.0,0.0,0.0,Espanya,Alcoletge,Segrià,Lleida,5,Educació secundària 1
3,5.0,1.0,0.0,0,2,0,1,9,0,2,1,1,1,3,1,2,2,9,1.0,2.0,2,1,2,3,3,2,2,3,1,2,2,2,2,3,3,2,2,3,2,3,3,4,2,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,0,9238,3,5,2,1,2,1,2,1,1,2,1,2,1,2,1,2,3.0,3.0,3.0,4.0,1,0,1,1,1,1,2,2,2,2,2,3,2,1,4,1,4,1,2,2,2,1,2,1,1,1,0,1,4,0,0,0,1,0,4580.0,26.70305676855895,60.414847161572055,-1.0,-1.0,61.33187772925764,20.0,36.0,27.0,36.0,3,1,3,0,0,0,16,0,0,0,6,10,2235.0,68.0,358.0,349.0,62.0,1213.0,0.0,103.0,0.0,82.0,Espanya,Lleida,Segrià,Lleida,5,Educació secundària 1
